# stan_version_major = 2
# stan_version_minor = 21
# stan_version_patch = 0
# model = noname_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = noname_3.data.R
# init = 2 (Default)
# random
#   seed = 8675309
# output
#   file = noname_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,y_hat.1,y_hat.2,y_hat.3,y_hat.4,y_hat.5,y_hat.6,y_hat.7,y_hat.8
# Adaptation terminated
# Step size = 0.240333
# Diagonal elements of inverse mass matrix:
# 11.8903, 0.824457, 37.892, 21.4262, 24.5783, 24.1599, 19.6833, 24.5738, 29.3349, 30.8044
-18.241,0.959454,0.240333,4,15,0,21.2073,9.02399,3.56404,15.0343,3.16231,6.504,10.748,7.18245,6.90818,10.3176,1.80691,-4.00057,-3.33854,-3.86795,-3.37488,-3.52945,-3.46108,-3.51662,-3.96965,13.3855,8.61661,7.65749,12.1949,-12.954,23.3971,21.6808,-32.0879
-22.9448,0.281065,0.240333,4,15,0,25.377,1.71947,8.41385,11.509,2.41298,10.5076,8.88373,10.0422,8.64249,18.3167,2.39104,-4.23133,-3.3776,-4.04788,-3.3315,-3.86882,-3.55819,-3.22203,-3.9518,20.9889,8.41289,21.9924,14.6206,17.1487,-2.89748,18.5922,-3.63858
-22.7781,0.981187,0.240333,5,31,0,28.1154,3.07486,4.98841,-0.920421,-3.69489,2.82863,5.54563,-9.86198,3.67427,-2.35565,4.04618,-5.48563,-3.90538,-3.75788,-3.32557,-3.60094,-3.34639,-5.29329,-3.90694,1.19962,7.55969,0.947247,18.5661,-6.89107,20.9862,1.1658,12.9584
-15.491,0.960074,0.240333,4,15,0,24.5882,3.73185,3.41569,6.2149,4.73568,-0.803253,0.203042,5.39332,-0.0632556,8.03454,-0.267174,-4.68163,-3.2748,-3.70095,-3.50774,-3.36848,-3.32151,-3.71808,-4.04154,-12.4301,16.5972,-35.2852,11.2429,0.767775,9.77757,0.621404,24.4774
-23.4699,0.137108,0.240333,4,15,0,27.4474,-0.463586,7.38117,16.3106,3.07915,4.44848,9.47715,-0.927621,7.0111,15.6322,9.16045,-3.93064,-3.3426,-3.79989,-3.34219,-3.1162,-3.46614,-3.24956,-3.82175,18.5796,20.5197,-26.1196,11.8455,0.882418,18.3198,20.0884,28.6929
-25.1716,0.911277,0.240333,4,15,0,28.2768,4.0336,9.26402,25.3291,0.629274,5.88237,11.532,-5.77724,2.79627,26.3269,10.1705,-3.64284,-3.49316,-3.84562,-3.40171,-3.25704,-3.33017,-3.56821,-3.81448,34.4957,-6.2364,-2.84446,3.12905,-12.5702,-9.0198,6.87178,30.8377
