# stan_version_major = 2
# stan_version_minor = 21
# stan_version_patch = 0
# model = noname_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = noname_2.data.R
# init = 2 (Default)
# random
#   seed = 8675309
# output
#   file = noname_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,y_hat.1,y_hat.2,y_hat.3,y_hat.4,y_hat.5,y_hat.6,y_hat.7,y_hat.8
# Adaptation terminated
# Step size = 0.157283
# Diagonal elements of inverse mass matrix:
# 10.2822, 1.01728, 27.6962, 14.0403, 24.8688, 16.997, 21.0947, 22.147, 21.5947, 23.7413
-17.8662,0.913298,0.157283,4,15,0,22.3144,9.05803,4.3731,5.6816,10.4398,6.53855,11.4566,12.5816,6.24779,15.4372,5.54118,-4.7339,-3.25129,-3.86923,-3.39891,-4.2548,-3.43063,-3.25436,-3.87369,-6.46127,11.2269,-2.10446,13.7642,9.39916,8.93293,20.1338,20.8367
-20.37,0.992911,0.157283,5,31,0,23.1395,7.81538,5.64852,12.1005,9.33039,11.711,16.7132,0.496496,1.58724,17.5269,6.41249,-4.18875,-3.23037,-4.11421,-3.70669,-3.12999,-3.31826,-3.22264,-3.85749,21.1064,-8.44312,26.432,24.2841,8.05006,15.5943,20.9326,-21.6408
-18.3727,0.995078,0.157283,4,31,0,22.8226,9.40215,4.46247,13.6576,7.94382,10.5434,16.8968,3.12327,6.34172,12.8191,13.8518,-4.08411,-3.22154,-4.04978,-3.72157,-3.22111,-3.43474,-3.35573,-3.8146,37.3887,-12.7285,-6.57225,6.77216,17.9661,17.4106,12.4965,-0.173436
-19.8915,0.871029,0.157283,4,23,0,23.2964,6.77466,5.67565,14.6809,5.28311,12.2653,14.6508,-3.25069,3.96254,8.25631,10.0202,-4.02121,-3.25843,-4.14666,-3.55872,-3.14743,-3.3531,-3.69622,-3.81536,39.3685,7.87206,11.4348,25.0585,-9.09278,11.7189,0.301213,-11.1599
-19.308,0.901202,0.157283,5,31,0,24.1669,-0.777751,3.94544,0.0200996,4.25856,-0.0838111,-1.82558,7.42011,5.58804,4.98091,0.780593,-5.36671,-3.29152,-3.70814,-3.6387,-3.55381,-3.40382,-4.06901,-4.00356,10.8395,12.6178,19.683,-8.18328,6.42204,30.6086,11.1942,7.60677
-20.1404,0.997154,0.157283,4,15,0,22.1823,-0.864549,7.52699,0.792681,4.94926,4.19877,-0.960269,5.16677,4.39034,5.20445,0.762804,-5.27196,-3.26806,-3.79274,-3.57868,-3.35091,-3.36433,-4.04015,-4.00418,-11.9217,-1.23271,4.29888,10.7014,-0.88303,-1.33582,14.7598,13.9265
-17.4264,0.983936,0.157283,5,47,0,27.5481,7.24886,6.07297,9.0958,4.5871,4.96796,8.4413,5.4986,7.38183,4.25595,9.67965,-4.42114,-3.27976,-3.81553,-3.32542,-3.37685,-3.48513,-4.16602,-3.81762,24.6998,-12.39,4.6889,7.82559,17.0184,-1.10206,-6.43277,6.56683
-15.7692,0.973661,0.157283,4,31,0,25.5068,4.94127,2.45816,0.658915,6.16537,8.09207,5.64586,3.0017,0.927333,6.27177,9.54237,-5.28818,-3.23835,-3.93183,-3.32441,-3.21501,-3.31686,-3.90928,-3.81863,-29.9728,7.23468,-9.52382,10.443,3.35413,10.4379,30.0907,-3.41353
-24.8239,0.900963,0.157283,5,31,0,29.5252,4.47015,10.3368,27.253,10.841,6.54902,11.531,3.68046,18.0124,18.5082,3.41738,-3.62823,-3.26188,-3.86962,-3.40167,-3.25139,-4.51279,-3.22281,-3.92299,20.7835,17.3903,10.4022,4.53912,-0.725281,13.4453,22.2758,5.30626
-33.0305,0.978783,0.157283,5,31,0,35.7188,17.8125,15.2926,40.4965,6.81048,-1.52292,19.6709,2.2838,17.2502,11.7141,20.2367,-3.97402,-3.2286,-3.69579,-3.98027,-3.18273,-4.40803,-3.41908,-3.91401,59.7212,9.40648,4.31909,15.0514,9.9305,8.13702,4.39815,31.9084
-29.2325,0.996102,0.157283,5,31,0,37.4329,-2.17154,18.8773,12.752,15.2557,-6.51428,25.3487,6.97637,9.69944,18.4166,0.7054,-4.14366,-3.48475,-3.71565,-4.70805,-3.50889,-3.62956,-3.22239,-4.00617,11.9538,8.59001,22.4875,16.9162,8.10151,6.30623,12.3108,-13.1151
-20.1406,0.992832,0.157283,5,31,0,35.6584,3.09914,4.94378,15.8146,2.55823,9.94254,7.03451,5.23557,5.85084,5.16344,10.7159,-3.95695,-3.36959,-4.01869,-3.31684,-3.35618,-3.41407,-4.04541,-3.81185,17.9999,-16.3756,-1.62932,5.47248,-1.04068,6.14336,-2.59816,32.5228
-14.6138,0.911974,0.157283,4,31,0,22.934,5.48942,3.93091,6.10828,8.421,5.7823,6.47019,4.81045,5.22375,9.4608,-0.0865425,-4.69198,-3.22241,-3.84217,-3.31799,-3.32457,-3.39055,-3.58611,-4.03475,-16.4145,7.16035,-11.9689,11.1469,1.04701,-9.20967,-1.46927,-18.1611
-14.5521,0.937006,0.157283,3,15,0,17.0945,6.27588,3.70898,5.88742,8.74005,6.18986,7.03673,4.37343,5.07728,9.78098,0.462352,-4.71358,-3.22426,-3.85648,-3.31684,-3.2944,-3.38553,-3.55929,-4.01474,11.1606,-5.13117,-11.7825,-6.57683,4.3626,-6.81119,15.6486,-15.0458
-15.5325,0.983771,0.157283,4,31,0,20.2325,4.15236,3.75476,4.24509,2.23538,3.26781,-2.08653,6.14913,1.06458,8.48932,6.09819,-4.88098,-3.38768,-3.76826,-3.65801,-3.43166,-3.31685,-3.67379,-3.86306,-9.55688,17.332,-19.1383,-1.17239,2.1025,-4.44846,26.3284,-2.73469
-17.617,0.973147,0.157283,3,15,0,19.2222,3.50875,2.86506,5.20701,0.592958,2.87239,-2.69598,6.68486,0.251148,9.9903,5.29335,-4.78148,-3.49584,-3.75888,-3.70531,-3.48071,-3.31915,-3.5423,-3.87872,18.1608,12.612,2.00691,8.5402,3.3995,-1.24918,38.1474,-7.69065
-19.7846,0.926014,0.157283,4,15,0,22.3823,3.46836,8.17523,3.52753,0.352496,4.20565,-2.98662,1.99141,3.18182,12.7476,7.10434,-4.95788,-3.51395,-3.79294,-3.72895,-3.1714,-3.3365,-3.35946,-3.8463,-3.96876,-4.62572,6.63753,-6.78569,-0.627222,13.4838,-7.69513,37.0355
-15.8232,0.994544,0.157283,4,31,0,24.8991,6.8443,2.24609,3.95225,7.58601,5.62355,10.0094,8.1521,4.93702,2.67997,3.0607,-4.91209,-3.22238,-3.83677,-3.35426,-3.63321,-3.38088,-4.39504,-3.93263,16.6257,10.5986,15.6793,8.23509,6.47263,-0.13794,11.7977,-31.1741
-16.5416,0.97444,0.157283,4,15,0,20.2859,10.9235,2.80118,12.0885,10.7834,7.78137,5.92087,4.78868,9.05906,13.0761,11.4115,-4.1896,-3.26026,-3.91855,-3.32165,-3.32301,-3.58522,-3.34275,-3.80984,-5.56461,-4.1237,24.9567,5.8064,-0.0323054,-10.487,3.34186,15.3914
-16.694,0.92617,0.157283,4,15,0,22.6335,7.8883,3.28284,4.74864,12.0683,6.13612,10.1571,9.32468,13.8754,8.096,7.50017,-4.82838,-3.30428,-3.85455,-3.35802,-3.77418,-4.00186,-3.71197,-3.84056,12.4342,16.5968,4.16046,-6.23983,0.905684,13.113,7.18199,45.7032
-14.0586,0.960275,0.157283,4,31,0,22.0185,5.10223,2.76446,9.04531,1.90984,5.0398,7.25269,5.14168,4.60004,10.8408,7.27141,-4.42539,-3.40697,-3.81777,-3.3171,-3.349,-3.37039,-3.4778,-3.84382,11.1436,3.28483,18.8016,26.8079,-5.85191,19.7932,19.1473,-21.1152
-12.6661,0.928461,0.157283,4,15,0,16.838,6.14597,2.58406,11.1352,7.07503,5.75732,7.61787,5.67522,7.26733,6.19405,9.58261,-4.25904,-3.2258,-3.84131,-3.31841,-3.39122,-3.47915,-3.91843,-3.81833,-22.946,3.75221,11.8929,2.41605,-4.70295,19.8311,8.53312,33.5576
-13.6108,0.921668,0.157283,3,15,0,17.2814,8.33975,2.30682,9.59294,3.33149,7.42412,6.03718,6.39108,5.83869,9.59871,9.49992,-4.37992,-3.3305,-3.90376,-3.32066,-3.45337,-3.41358,-3.57443,-3.81896,-6.26427,-16.919,13.2127,10.8214,2.1686,-3.9022,24.9384,-23.2685
-11.8129,0.984323,0.157283,4,15,0,15.6155,8.76355,1.85029,6.48935,9.42978,7.66314,11.4177,6.38042,8.14869,8.0066,7.06464,-4.65523,-3.23174,-3.9136,-3.39748,-3.4524,-3.52801,-3.72086,-3.8469,0.00687253,32.3833,25.1851,-3.49379,10.1743,-18.6325,24.772,-11.9334
-14.2398,0.971995,0.157283,4,15,0,17.2882,7.21415,2.16359,7.83397,13.2249,5.55663,6.0462,8.76676,8.29554,9.38014,7.27196,-4.5307,-3.35802,-3.83453,-3.32059,-3.70499,-3.53677,-3.59303,-3.84381,32.3157,28.3434,16.8521,5.26448,3.52447,7.07536,-15.2592,-6.36879
-12.0692,0.937998,0.157283,4,15,0,18.3359,8.5242,2.09507,7.41557,6.39321,10.2373,10.3598,6.23601,10.1839,6.93373,9.27648,-4.56859,-3.23443,-4.03377,-3.36348,-3.43937,-3.66536,-3.83384,-3.82076,-8.03997,17.0098,13.2105,23.7158,-9.22938,7.20504,14.1324,-6.17535
-17.2287,0.866539,0.157283,4,15,0,20.022,9.20129,2.77938,10.5251,11.9128,9.34419,15.6123,5.63206,6.92167,8.80525,4.54322,-4.30559,-3.29807,-3.98914,-3.62333,-3.38767,-3.46174,-3.64424,-3.89512,39.5568,16.7599,2.28928,21.4025,12.706,21.9234,4.81869,0.995694
-15.6236,1,0.157283,4,15,0,18.6319,8.76751,3.5267,12.2951,11.6381,8.73551,14.3612,5.81843,5.32421,9.70404,7.52092,-4.17509,-3.2877,-3.96052,-3.54075,-3.40314,-3.3941,-3.56564,-3.84027,21.5066,16.7031,6.98582,4.08371,24.4801,-2.06105,8.58532,26.6286
-14.992,0.607627,0.157283,3,15,0,17.3333,10.2929,2.65263,11.8778,10.7425,11.8211,13.0982,5.6134,6.70898,8.89245,8.47951,-4.2046,-3.25913,-4.12056,-3.4705,-3.38614,-3.45151,-3.63626,-3.82844,18.1096,6.8159,22.0185,8.06821,16.3078,-12.5761,14.2131,3.1281
-17.045,0.984603,0.157283,4,15,0,19.4752,9.69392,3.25592,9.28358,15.0313,15.2046,11.8091,8.7793,10.2314,11.7018,6.92531,-4.40544,-3.46872,-4.33881,-3.4124,-3.7065,-3.66897,-3.41986,-3.84905,31.289,13.4659,31.1839,13.0641,24.3559,2.56709,-0.67585,24.54
-10.4723,0.966002,0.157283,4,15,0,19.4297,10.7036,1.45044,10.9844,8.05213,9.83593,10.024,9.1816,9.69343,11.6019,11.9579,-4.27039,-3.22154,-4.01333,-3.35462,-3.75607,-3.62913,-3.4262,-3.80931,14.9508,18.4084,-24.7699,27.026,25.1189,19.3626,7.1877,39.5854
