# stan_version_major = 2
# stan_version_minor = 21
# stan_version_patch = 0
# model = noname_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = noname_4.data.R
# init = 2 (Default)
# random
#   seed = 8675309
# output
#   file = noname_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,y_hat.1,y_hat.2,y_hat.3,y_hat.4,y_hat.5,y_hat.6,y_hat.7,y_hat.8
# Adaptation terminated
# Step size = 0.257534
# Diagonal elements of inverse mass matrix:
# 9.63356, 0.367129, 30.3822, 27.6347, 33.7095, 21.4041, 24.3352, 25.0191, 29.9245, 29.8838
-28.1798,0.971167,0.257534,4,15,0,35.6018,8.15464,10.303,23.2935,11.0024,9.50718,6.61688,4.4076,31.8652,9.73411,4.62243,-3.67621,-3.26659,-3.99705,-3.31744,-3.29667,-7.25344,-3.56315,-3.8933,27.8631,13.1044,-1.22151,17.4255,12.0768,31.1467,16.2816,-18.0256
-21.4076,0.998237,0.257534,4,15,0,31.3161,11.6184,6.45503,25.2697,12.0881,9.50761,7.14579,7.25102,5.18175,17.7226,9.4114,-3.64355,-3.30508,-3.99707,-3.31692,-3.53641,-3.38909,-3.22191,-3.81965,31.9395,13.4514,-36.6658,5.87176,-6.69869,-6.20068,13.4889,24.9966
-21.0131,0.963692,0.257534,4,15,0,28.6444,10.5929,4.53144,9.81943,8.28865,7.39531,15.3284,-1.26372,15.6438,10.8681,7.6917,-4.36151,-3.22194,-3.90259,-3.60346,-3.11659,-4.20295,-3.47584,-3.83795,9.66345,2.94467,14.4365,22.6359,-3.02316,17.5005,12.5513,12.1983
-22.3097,0.970471,0.257534,4,15,0,23.9793,10.4501,4.10378,10.1553,6.8972,7.4172,16.263,-1.82736,16.1299,9.75283,9.23493,-4.33462,-3.2276,-3.90348,-3.6714,-3.12039,-4.26276,-3.5616,-3.82111,6.08017,13.6266,4.06079,4.23612,1.38503,4.26926,21.9406,-14.0254
-20.3349,1,0.257534,4,15,0,26.3087,8.05518,5.0192,5.01321,14.6591,10.1481,5.69085,10.9531,14.9936,15.8227,7.98062,-4.80119,-3.44324,-4.02917,-3.32392,-3.99811,-4.12601,-3.24523,-3.83424,-0.551287,14.093,-5.97683,1.47793,12.8526,39.3746,10.5625,1.902
-18.8465,0.984271,0.257534,4,31,0,25.6818,-0.473125,5.77393,5.14299,-2.06084,3.35143,6.31941,-0.332897,-6.35236,4.7022,4.9694,-4.78797,-3.72763,-3.77032,-3.31875,-3.11891,-3.54021,-4.10568,-3.88559,28.085,-12.9301,-2.50253,-2.44621,3.57656,-30.0469,-3.52728,8.11156
